               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.02967,            0.012544,                   0,             0.99814,             0.85185,             0.94599,             0.57674,            0.041992,            0.011225,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030644,            0.013414,                   0,                   1,             0.84849,             0.94863,             0.61606,            0.041164,            0.011344,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031003,            0.013202,                   0,             0.95699,             0.82442,              0.9252,              0.5701,            0.042975,            0.012397,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.030086,            0.013604,                   0,             0.93992,             0.88889,             0.94536,             0.61646,            0.039839,            0.011939,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.029878,            0.014024,                   0,             0.94786,             0.88889,             0.93979,             0.64278,            0.038764,            0.011427,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.027535,            0.011634,                   0,             0.92271,             0.88448,             0.92564,              0.5972,            0.038125,            0.011859,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.030851,            0.013387,                   0,                   1,             0.81296,             0.93284,             0.62101,            0.037346,            0.011887,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.027431,            0.012067,                   0,             0.99633,             0.85185,             0.93194,              0.5963,            0.038691,            0.011785,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.028143,            0.012498,                   0,                   1,             0.84998,             0.92547,             0.61775,            0.037381,            0.012014,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.027698,            0.011476,                   0,                   1,              0.8998,              0.9408,             0.61015,            0.038615,            0.011179,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.028859,            0.012622,                   0,                   1,             0.92009,             0.93921,             0.58026,            0.039386,            0.010783,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.029988,            0.013466,                   0,             0.98512,             0.88889,              0.9367,             0.62694,            0.037933,            0.011468,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030042,            0.012513,                   0,             0.95949,             0.87764,             0.95344,             0.60096,            0.039688,            0.011431,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.027044,            0.012781,                   0,             0.99619,             0.81481,             0.95108,             0.63362,            0.039054,            0.011489,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.026078,             0.01153,                   0,                   1,             0.84902,             0.95354,             0.61842,            0.039689,            0.011284,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.028825,            0.012278,                   0,                   1,              0.8485,             0.95865,             0.60881,            0.039478,            0.010921,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.025579,            0.012211,                   0,                   1,             0.88045,             0.95968,             0.61842,            0.039134,            0.010398,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02959,             0.01196,                   0,                   1,             0.84789,             0.95601,             0.58321,            0.039912,            0.010846,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.026341,            0.010985,                   0,                   1,             0.92376,             0.95848,             0.60709,            0.037485,            0.010486,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.026748,            0.010316,                   0,             0.99741,             0.85185,             0.94936,             0.62123,            0.037369,            0.010699,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02604,            0.011184,                   0,             0.99488,             0.85185,             0.95594,              0.6076,            0.038531,            0.010552,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028186,            0.012246,                   0,             0.95064,             0.85185,              0.9602,             0.61143,            0.037406,            0.010544,                   0,           0.0086338,           0.0086338,           0.0086338
